ZipCode,Pop25YAO,LessThan9th25YAO,9To12NoDip25YAO,HSGrad25YAO,AssocDeg25YAO,BachDeg25YAO,GradOrProfDeg25YAO,HSGradOrHigher25YAO
74459,73,0,2,24,7,15,3,71
74460,140,7,19,54,8,6,4,114
74462,5220,218,709,1776,586,649,198,4293
74463,1992,49,416,885,71,25,16,1527
74464,18627,811,2008,5323,1031,3133,1953,15808
74467,10585,386,1030,3992,854,1221,626,9169
74468,218,9,25,108,9,22,10,184
74469,1510,72,138,555,162,139,111,1300
74470,1036,37,151,405,89,97,48,848
74471,1040,31,108,414,50,162,56,901
74472,482,39,54,189,35,46,33,389
74477,0,0,0,0,0,0,0,0
74501,19478,740,1810,7319,1909,2203,1101,16928
74521,140,9,14,66,10,4,10,117
74522,193,5,7,63,40,25,0,181
74523,4090,299,348,1608,268,459,267,3443
74525,6530,312,813,2648,355,694,282,5405
74528,138,5,14,51,16,6,10,119
74530,130,8,27,42,6,14,5,95
74531,669,21,69,247,52,69,76,579
74533,528,10,57,202,31,63,16,461
74534,112,16,18,41,9,0,13,78
74535,64,5,5,43,5,0,0,54
74536,1116,41,151,422,101,103,38,924
74538,2732,135,307,1156,102,282,161,2290
74540,160,21,17,63,12,21,8,122
74543,302,11,0,184,14,21,8,291
74546,472,25,54,177,62,26,8,393
74547,2311,60,206,872,260,246,48,2045
74549,45,4,0,25,4,2,0,41
74552,820,54,94,335,70,85,42,672
74553,843,30,104,365,75,85,30,709
74554,1162,32,110,463,112,116,39,1020
74555,500,20,67,185,30,45,31,413
74556,270,7,34,132,4,42,6,229
74557,358,23,26,161,19,32,8,309
74558,319,25,65,123,15,26,7,229
74560,429,20,33,221,20,32,15,376
74561,1365,86,154,569,124,79,20,1125
74562,690,25,75,302,18,67,50,590
74563,1418,40,95,567,171,151,97,1283
74565,491,12,37,189,38,49,32,442
74567,96,11,36,40,0,3,0,49
74569,1065,38,179,454,46,68,35,848
74570,735,19,87,287,70,49,44,629
74571,2474,101,169,968,348,291,145,2204
74572,408,21,55,149,16,51,38,332
74574,872,39,70,312,89,117,67,763
74576,65,0,5,26,0,3,16,60
74577,140,4,16,61,7,14,3,120
74578,3933,147,399,1338,568,432,209,3387
74601,12180,445,1651,4236,1264,1270,399,10084
74604,8690,169,505,2567,974,1878,683,8016
74630,533,27,45,251,33,40,5,461
74631,5176,237,471,1847,578,417,305,4468
74632,438,9,30,160,24,94,30,399
74633,246,13,26,122,23,20,7,207
74636,174,7,20,61,12,40,6,147
74637,1212,41,153,505,104,122,35,1018
74640,219,0,13,101,18,45,12,206
74641,485,12,51,204,29,36,2,422
74643,287,8,25,96,42,86,1,254
74644,324,20,47,113,17,23,10,257
74646,150,2,0,49,5,55,0,148
74647,2416,80,243,839,271,241,86,2093
74650,453,30,33,159,47,68,15,390
74651,540,7,43,200,77,77,24,490
74652,562,18,70,253,27,55,9,474
74653,2320,78,224,679,275,316,160,2018
74701,16120,614,1743,4569,855,2567,1706,13763
74720,333,12,46,140,26,31,10,275
74722,167,0,14,61,23,23,7,153
74723,997,34,87,411,58,157,61,876
74724,244,10,30,113,23,27,3,204
74726,1721,55,194,687,98,168,100,1472
74727,1252,51,187,522,51,119,26,1014
74728,7388,502,890,3151,449,743,297,5996
74729,2020,106,155,723,71,385,178,1759
74730,3159,116,240,1101,223,423,153,2803
74731,1123,141,141,402,63,119,15,841
74733,2306,84,210,828,157,288,134,2012
74734,793,21,77,412,53,51,8,695
74735,1078,75,113,490,73,73,31,890
74736,658,17,77,242,69,43,42,564
74738,451,30,74,194,17,20,11,347
74740,1661,177,211,694,112,154,27,1273
74741,739,35,49,247,38,141,36,655
74743,5654,330,752,2064,368,536,232,4572
74745,6360,254,651,2782,416,667,287,5455
74747,154,6,16,60,5,4,0,132
74748,445,9,73,206,19,28,13,363
74750,223,15,29,124,9,15,8,179
74753,31,0,0,15,0,0,0,31
74754,195,12,49,57,0,10,8,134
74755,82,15,7,48,0,0,0,60
74756,507,34,46,209,27,36,13,427
74759,953,47,123,440,59,64,41,783
74760,235,6,35,104,9,18,15,194
74761,53,10,5,19,4,6,1,38
74764,2641,174,270,1194,220,159,97,2197
74766,983,47,93,459,77,104,45,843
74801,14772,608,1680,5350,1119,1508,805,12484
74804,13319,305,839,4225,1003,2188,1339,12175
74820,20169,467,1768,6421,1047,3683,2365,17934
74824,957,23,102,514,39,84,34,832
74825,1442,66,112,568,88,161,103,1264
74826,777,34,125,337,34,56,51,618
74827,247,10,14,100,34,17,0,223
74829,1263,147,266,522,81,74,15,850
74830,149,6,22,60,12,3,5,121
74831,466,14,27,234,22,59,9,425
74832,606,23,83,210,57,52,17,500
74833,492,32,72,179,32,35,24,388
74834,5233,141,469,1861,455,663,215,4623
74836,148,0,33,106,0,0,0,115
74837,161,19,27,64,14,5,3,115
74839,556,20,53,277,39,38,22,483
74840,1291,28,107,540,138,120,30,1156
74842,97,0,7,27,11,4,23,90
74843,258,4,6,61,51,52,39,248
74844,261,4,47,93,30,29,1,210
74845,287,11,63,114,14,36,14,213
74848,5487,321,843,2143,372,396,245,4323
74849,1972,86,213,669,202,218,101,1673
74850,259,10,41,120,9,18,4,208
74851,7273,166,676,2714,629,637,380,6431
74852,962,45,97,378,55,121,24,820
74854,1303,42,124,487,96,71,92,1137
74855,3477,120,416,1112,328,444,202,2941
74856,513,16,96,153,44,67,20,401
74857,6144,169,667,2047,707,785,249,5308
74859,4115,198,569,1479,298,393,221,3348
74860,1113,70,123,519,111,69,24,920
74864,3580,146,387,1305,342,368,184,3047
74865,1140,29,114,540,68,119,63,997
74867,508,27,75,241,22,33,11,406
74868,8801,305,935,3044,809,896,439,7561
74869,536,41,38,262,18,60,16,457
74871,1749,82,149,649,68,258,151,1518
74872,2045,61,140,992,53,220,72,1844
74873,7553,151,789,2777,714,803,394,6613
74875,824,39,110,333,47,99,18,675
74878,1040,39,113,481,93,65,37,888
74880,1340,63,165,515,131,87,53,1112
74881,3438,87,330,1650,250,301,124,3021
74883,1636,70,168,656,108,164,68,1398
74884,3855,243,465,1192,323,322,163,3147
74901,1263,121,190,544,97,91,41,952
74902,2745,122,217,1266,291,242,73,2406
74930,1418,56,196,654,78,143,62,1166
74931,877,61,164,349,17,86,46,652
74932,1612,87,137,772,134,87,103,1388
74935,131,9,31,54,9,10,5,91
74936,729,20,116,298,82,54,26,593
74937,3555,507,393,1364,319,233,76,2655
74939,1006,58,151,504,46,33,20,797
74940,1984,66,268,850,156,247,67,1650
74941,1817,113,232,714,136,184,85,1472
74942,95,5,13,49,6,5,5,77
74943,108,14,24,33,4,11,3,70
74944,797,44,105,331,96,80,25,648
74945,315,16,54,134,18,31,16,245
74946,101,9,25,49,5,2,0,67
74948,8261,478,1096,3073,688,767,176,6687
74949,211,4,25,110,22,22,5,182
74951,862,70,135,398,67,38,35,657
74953,8041,273,957,2598,954,930,854,6811
74954,3351,277,317,1339,273,301,149,2757
74955,10035,603,1381,3927,827,1001,320,8051
74956,1141,71,189,442,91,79,72,881
74957,781,20,102,245,76,98,54,659
74959,4849,318,533,2059,335,371,320,3998
74960,8514,467,1313,3785,361,774,296,6734
74962,3213,128,474,1174,250,335,235,2611
74963,326,7,35,172,21,18,11,284
74964,1888,120,246,978,97,90,22,1522
74965,3289,117,454,1538,125,312,39,2718
74966,2625,130,249,1113,261,243,137,2246
75001,11590,156,405,1318,815,4561,2048,11029
75002,44606,1189,1427,7600,3435,14346,6649,41990
75006,33588,4104,2980,8378,1806,6966,3155,26504
75007,38323,2023,1934,8007,2884,11596,4226,34366
75009,7725,515,256,1777,530,1964,692,6954
75010,19899,698,520,2848,1479,6707,3043,18681
75013,25828,303,374,2286,1732,9770,7161,25151
75019,29230,413,383,2290,1581,11607,8523,28434
75020,15836,389,1293,4839,1627,2209,1298,14154
75021,6289,238,588,2311,550,649,351,5463
75022,16430,212,222,1584,864,7248,4045,15996
75023,35461,793,1164,5129,2676,11602,5987,33504
75024,30008,304,381,2301,1204,12921,8780,29323
75025,36301,696,527,3095,2237,14082,10504,35078
75028,31037,347,735,3781,2309,11790,6184,29955
75032,20973,1080,754,3087,1774,6055,3667,19139
75034,64865,1222,1115,6765,4019,25097,15059,62528
75035,43266,790,748,3567,3158,16584,10892,41728
75038,19544,785,850,4251,1379,5655,3240,17909
75039,14858,143,128,1011,800,5769,4964,14587
75040,39148,5734,5080,9772,2720,5054,1982,28334
75041,18970,3597,3115,5444,851,1684,649,12258
75042,23477,4925,3802,5574,1214,2400,787,14750
75043,39720,2659,3181,9547,3390,6952,3374,33880
75044,29200,1710,1884,5523,2166,7883,3578,25606
75048,16359,801,1173,3751,1748,3549,1687,14385
75050,25997,3399,2800,7761,1700,3508,1716,19798
75051,24363,4790,3578,8790,1282,1539,562,15995
75052,60666,3676,5001,15433,5517,11795,4693,51989
75054,6407,72,162,716,945,2233,1228,6173
75056,40233,996,1500,7263,3421,12278,5529,37737
75057,9021,1181,1059,2017,550,1785,500,6781
75058,1709,111,75,438,111,417,166,1523
75060,28941,5778,4635,7899,1707,3058,1115,18528
75061,32358,6706,5079,8421,1980,3273,1564,20573
75062,29948,3439,3270,7384,2090,4880,2540,23239
75063,26805,300,385,1979,1692,10149,8822,26120
75065,8633,194,454,2209,454,1897,732,7985
75067,44536,3169,2384,9920,3715,11371,4259,38983
75068,38208,1397,1223,6728,3000,10542,6041,35588
75069,25270,3151,1648,5951,1787,5223,2553,20471
75070,62667,791,1178,7501,5679,23023,10656,60698
75071,32854,1476,899,4894,3734,9617,5015,30479
75074,33089,3905,2008,6661,2405,8223,3470,27176
75075,26129,1094,1042,3874,2028,7952,4323,23993
75076,5736,29,390,1675,445,1006,348,5317
