ZipCode,Pop16YAO,MedianEarnings16YAO,MedianEarnings25YAO,MedianEarningsBachelors25YAO,MedianEarningsGradOrProfDeg25YAO
13026,1126,20556,36250,44464,68750
13027,18297,43767,49136,63031,69067
13028,609,28912,31660,,
13029,4129,40019,43379,60233,68973
13030,2082,41331,43000,68750,95109
13031,8465,41941,47188,58774,63930
13032,6456,35664,38805,55000,49286
13033,2095,36583,41765,58250,47250
13034,1084,38600,44375,41750,69688
13035,5024,30507,41396,46484,71250
13036,4936,35645,37443,52101,85000
13037,5047,42121,46391,57105,61813
13039,9783,50098,53401,68677,75167
13040,1313,30674,34081,43750,54375
13041,6394,48794,53149,60069,65068
13042,1250,30647,31574,,116250
13044,1446,41242,41591,40932,
13045,16943,25100,37154,46019,56546
13051,123,,,,
13052,652,36125,39479,61750,69792
13053,2673,31093,38266,48977,67279
13054,800,39400,38950,38000,
13057,7555,36088,39664,51100,67745
13060,1460,36277,41993,57667,63158
13061,567,38510,39952,39438,56250
13062,15,,,,
13063,1403,39575,47554,62656,95724
13064,74,59250,,,
13066,6808,50443,56224,70152,83448
13068,3107,35240,39044,40336,57872
13069,11523,30437,33798,41094,61399
13071,500,31875,35461,45833,61250
13072,420,30515,32500,60781,
13073,3924,38220,42316,53704,62813
13074,1966,29754,33285,55192,55417
13076,1266,41333,45025,37206,70391
13077,4063,35770,40073,52813,51176
13078,5152,54106,58407,61330,78516
13080,1824,27882,33019,48494,
13081,680,32083,40357,44688,70313
13082,2545,35008,37403,54000,97560
13083,1123,30250,34076,43125,53750
13084,1975,35841,39145,54583,69896
13087,26,36667,56250,,
13088,12233,38746,42054,50009,62760
13090,17210,43437,49093,57676,67122
13092,1409,35793,39011,38313,53654
13101,1265,36108,39565,53026,50000
13102,8,,,,
13103,130,41429,42321,,
13104,8567,53227,60235,54483,92083
13108,3435,40583,44923,63555,64031
13110,1223,43194,50118,46375,69698
13111,766,18523,20658,13529,83571
13112,1013,37147,43958,,63125
13113,164,38571,40139,,71500
13114,3231,31904,38286,58977,63977
13115,124,31389,40917,,
13116,1733,38589,43861,29861,60451
13117,143,35529,36202,67813,
13118,2736,35144,38000,41509,61500
13120,1283,32434,37738,34375,89732
13122,654,33750,42000,33750,
13123,170,37794,37794,,
13124,51,35417,35417,51250,
13126,20687,21068,39898,42500,67448
13131,1976,29492,32163,27404,67917
13132,1676,39245,45216,56417,73672
13134,108,34688,34922,73409,
13135,3590,32035,36340,32314,63313
13136,215,29375,33125,35938,
13138,0,,,,
13140,2527,29261,33384,44327,67500
13141,327,44779,49554,53611,60313
13142,3004,30680,35156,50125,59554
13143,1362,31048,34938,39643,40625
13144,902,21453,26131,59306,73542
13145,777,33631,36875,66406,59375
13146,1066,27889,32356,,54375
13147,689,30571,34844,51667,61250
13148,5805,30386,36066,43594,59628
13152,4350,51260,56463,62321,75313
13153,268,26295,26295,,
13155,362,29911,30966,51875,36250
13156,926,40000,43103,52647,60972
13157,136,31000,31667,,
13158,782,32778,36402,35000,60208
13159,3191,40831,48849,53077,71161
13160,1179,33692,38750,57875,63750
13162,256,,,,
13163,206,35909,40658,52750,51094
13164,1253,50640,53628,70938,70100
13165,5693,31207,36492,45714,46891
13166,3095,36597,40824,52150,57895
13167,1694,31415,42077,,85179
13202,2626,18587,30269,41759,54019
13203,7313,27146,30441,45387,56863
13204,8508,30609,32752,49855,55509
13205,6823,28596,31136,41180,52778
13206,8671,31404,35093,43194,59808
13207,6738,32707,36549,51026,70677
13208,9880,29836,32141,45552,48553
13209,6869,31862,34662,50647,63725
13210,17766,6542,32496,27527,45298
13211,3295,30657,33956,42529,46250
13212,11235,36801,40675,57344,62596
13214,5047,30637,50878,58239,68806
13215,8526,41839,53766,61366,68984
13219,8102,40287,43620,47850,66845
13224,4301,34838,39630,60043,52363
13290,0,,,,
13301,26,,,,
13302,837,29505,30996,37083,66023
13303,654,38438,47059,51250,68523
13304,851,43475,51167,69219,95924
13305,169,26830,27455,,
13308,1612,31674,35417,62813,58523
13309,2966,35284,37629,53333,62431
13310,366,,,46389,58942
13312,220,37857,39464,,
13313,237,25547,26979,26250,
13314,162,31667,43269,,131000
13315,847,28510,35850,26964,53393
13316,2954,33414,37083,43906,76118
13317,1986,31019,37137,43125,68875
13318,779,32188,39375,61389,61250
13319,516,20463,20093,40833,
13320,1262,30733,35078,35078,73750
13321,486,35969,37015,53650,68611
13322,595,34583,40990,55000,66250
13323,5919,32147,50680,52904,75739
13324,1200,30769,35060,59583,67083
13325,590,30741,32454,55625,79375
13326,3097,32127,35355,46518,52784
13327,1040,31827,38452,55179,47083
13328,912,40294,41863,47813,51875
13329,1972,30793,32589,32356,56500
13331,87,25625,25625,41786,
13332,1453,32003,34174,53984,50721
13333,9,,,,
13334,550,27467,35818,,
13335,844,30872,34609,35417,58194
13337,400,40429,52500,60568,54191
13338,548,31023,35195,39375,62250
13339,3102,30446,32114,36597,59306
13340,4238,31751,35299,46847,51386
13341,80,41875,,,
13342,138,32500,37813,26250,56563
13343,857,32480,35694,40268,58472
13345,107,32813,34063,,
13346,3518,9247,40479,37688,66667
13348,874,35273,39706,52083,62143
13350,4933,28415,32115,40819,57446
13352,11,,,,
13353,4,4167,4167,,
13354,2240,34248,40103,50903,66629
13355,495,30860,31558,,
13357,5391,29368,35859,51335,63350
13360,125,29750,32981,33851,35625
13361,365,32656,38083,60909,
13362,80,41364,41364,,
13363,1300,38511,39468,33095,62813
13364,73,31027,31518,,
