ZipCode,NonHispanic,WhiteAlone,AfricanAmericanAlone,AmericanIndianAlaskaNative,AsianAlone,NativeHawaiianPacificIslander,OtherNonHispanic,Hispanic
29593,1654,778,865,0,0,0,11,15
29617,21914,16878,4081,0,407,13,535,6448
29621,39643,30896,6996,74,870,0,807,1288
29626,12002,8754,2851,0,0,12,385,568
29631,14800,12379,742,90,1172,0,417,376
29644,20051,14656,4528,26,185,33,623,1131
29658,488,481,7,0,0,0,0,3
29690,22262,19807,1981,42,81,16,335,955
29692,4641,3585,911,0,11,0,134,70
29696,5039,4640,119,38,26,0,216,347
29727,1399,783,569,0,2,0,45,42
29810,4175,512,3611,30,6,0,16,49
29840,323,0,308,15,0,0,0,0
29848,631,540,82,0,0,0,9,0
29939,383,97,286,0,0,0,0,0
29046,143,0,143,0,0,0,0,0
29101,2763,1585,1129,22,0,0,27,126
29168,3956,1525,2364,0,31,0,36,17
29940,3888,1495,2331,0,15,0,47,158
29137,1847,905,804,55,20,0,63,2
29153,14509,5915,8287,85,49,38,135,425
29162,2861,2004,830,0,0,0,27,185
29169,20335,14519,4596,45,394,51,730,3835
29202,262,183,9,0,65,0,5,12
29148,6861,3288,3521,16,4,0,32,49
29320,415,415,0,0,0,0,0,602
29453,1062,601,406,0,0,0,55,74
29581,4837,3475,1296,0,0,0,66,352
29657,15501,13998,1081,0,46,0,376,368
29569,17190,11100,5666,153,37,0,234,397
29607,38773,24709,11441,6,1973,22,622,2167
29741,2216,1727,396,0,0,26,67,23
29902,14620,10351,3328,0,267,4,670,1206
29944,3929,1980,1922,0,27,0,0,56
29945,5199,974,4166,2,6,0,51,33
29712,2128,1693,397,38,0,0,0,71
29520,13735,6505,6934,0,166,0,130,157
29642,31443,28722,1746,0,565,52,358,915
29667,263,235,25,0,3,0,0,0
29689,3934,3818,82,11,0,0,23,0
29080,2765,583,2132,4,0,0,46,94
29146,1679,606,1047,13,0,0,13,15
29045,24112,15906,6527,0,951,9,719,1702
29118,16501,4949,10440,50,531,83,448,731
29372,3955,3027,821,0,0,0,107,209
29492,12535,10943,1343,0,136,0,113,667
29020,20608,12604,7402,21,0,0,581,800
29044,5721,1737,3948,0,9,0,27,131
29036,20928,19825,766,0,216,0,121,838
29037,585,401,166,0,0,0,18,29
29039,3636,1760,1825,0,0,0,51,79
29040,10096,5169,4046,77,239,0,565,520
29042,5046,802,4198,0,9,0,37,30
29208,712,446,197,0,52,0,17,48
29126,2026,1505,521,0,0,0,0,9
29117,1045,57,917,0,7,0,64,11
29147,0,0,0,0,0,0,0,0
29225,1261,1038,148,0,36,0,39,47
29324,336,336,0,0,0,0,0,0
29329,247,247,0,0,0,0,0,0
29331,194,194,0,0,0,0,0,0
29333,505,408,62,0,0,0,35,76
29346,293,282,0,3,0,0,8,0
29368,96,96,0,0,0,0,0,0
29378,42,17,25,0,0,0,0,133
29409,2543,2099,238,7,101,0,98,123
29410,20677,15136,3758,47,1058,0,678,2159
29424,367,264,72,0,4,0,27,23
29588,40850,35997,3523,35,626,0,669,4535
29613,1833,1499,175,0,85,7,67,84
29614,1977,1642,143,2,99,18,73,151
29634,4986,4251,497,0,135,0,103,143
29707,26685,24142,1467,20,570,0,486,2181
29733,1766,1244,460,0,34,0,28,86
29899,1104,319,731,0,0,0,54,16
29904,525,366,86,0,17,6,50,187
29905,2540,1994,270,26,56,44,150,543
29907,13560,10709,2392,0,172,0,287,1241
29909,18317,17375,324,0,386,42,190,512
29912,0,0,0,0,0,0,0,0
29915,438,408,0,0,0,0,30,7
29817,4275,1483,2792,0,0,0,0,145
29321,3164,2492,535,0,0,0,137,30
29014,1763,1009,696,0,14,0,44,0
29038,1913,1442,394,42,0,0,35,256
29053,16462,12378,3665,70,64,0,285,1390
29055,4020,2661,1240,0,0,0,119,17
