ZipCode,OccupiedUnits,OwnerOccupiedUnits,RenterOccupiedUnits
04469,0,0,0
04471,316,287,29
04472,932,774,158
04473,3075,1608,1467
04474,1492,1311,181
04475,257,232,25
04476,540,465,75
04478,167,136,31
04479,566,463,103
04481,205,188,17
04485,91,86,5
04487,393,365,28
04488,552,501,51
04489,80,63,17
04490,117,110,7
04491,68,63,5
04492,55,44,11
04493,762,643,119
04495,190,178,12
04496,1609,1344,265
04497,152,133,19
04530,5105,3332,1773
04535,347,293,54
04537,944,872,72
04538,998,702,296
04539,488,435,53
04541,21,21,0
04543,928,549,379
04544,306,298,8
04547,391,357,34
04548,444,374,70
04551,341,321,20
04553,792,575,217
04554,409,324,85
04555,715,606,109
04556,562,466,96
04558,72,72,0
04562,1026,913,113
04563,602,450,152
04564,263,263,0
04568,250,194,56
04570,0,0,0
04571,164,132,32
04572,2300,1656,644
04573,211,179,32
04574,576,535,41
04575,36,36,0
04576,300,265,35
04578,2015,1243,772
04579,1283,1042,241
04605,6029,4323,1706
04606,498,411,87
04607,504,424,80
04609,2337,1496,841
04611,199,166,33
04612,209,185,24
04613,37,28,9
04614,1199,837,362
04616,325,295,30
04617,342,298,44
04619,1496,983,513
04622,563,425,138
04623,375,314,61
04624,77,71,6
04625,47,41,6
04626,214,180,34
04627,704,522,182
04628,293,226,67
04629,0,0,0
04630,558,453,105
04631,640,469,171
04634,830,683,147
04635,6,4,2
04637,80,72,8
04640,979,721,258
04642,39,35,4
04643,410,325,85
04644,0,0,0
04645,15,8,7
04646,31,22,9
04648,295,236,59
04649,557,400,157
04650,118,118,0
04652,804,666,138
04653,292,154,138
04654,1351,870,481
04655,371,293,78
04657,150,120,30
04658,653,511,142
04660,517,453,64
04662,228,121,107
04664,510,403,107
04666,551,497,54
04667,591,418,173
04668,635,427,208
04669,90,90,0
04671,240,223,17
04673,77,73,4
04674,203,180,23
04675,80,57,23
04676,457,405,52
04677,125,105,20
04679,775,507,268
04680,528,427,101
04681,477,347,130
04683,48,37,11
04684,710,588,122
04685,179,142,37
04686,66,63,3
04691,137,114,23
04693,199,150,49
04694,972,771,201
04730,4158,2708,1450
04732,788,637,151
04733,115,97,18
04734,321,254,67
04735,258,233,25
04736,4102,2737,1365
04739,353,300,53
04740,454,354,100
04741,4,4,0
04742,1499,1069,430
04743,1906,1430,476
04745,408,358,50
04746,216,165,51
04747,547,472,75
04750,763,443,320
04756,1556,1105,451
04757,1265,1091,174
04758,544,384,160
04760,314,237,77
04761,221,190,31
04762,227,194,33
04763,296,221,75
04764,15,15,0
04765,510,412,98
04766,152,122,30
04768,180,168,12
04769,4082,2339,1743
04772,399,315,84
04773,280,224,56
04774,295,232,63
04776,399,364,35
04777,186,167,19
04779,163,158,5
04780,264,244,20
04781,222,188,34
04783,221,195,26
04785,986,633,353
04786,837,610,227
04787,205,193,12
04841,3453,1883,1570
04843,2475,1828,647
04847,638,577,61
04848,324,281,43
04849,1647,1420,227
04851,45,45,0
04852,22,16,6
04853,228,191,37
04854,703,592,111
04855,100,100,0
04856,1393,1165,228
04858,576,510,66
04859,374,342,32
04860,720,691,29
04861,1316,887,429
04862,1549,1301,248
04863,481,346,135
04864,1521,1381,140
04901,11455,6828,4627
04910,803,683,120
04911,946,747,199
04912,356,299,57
04915,3955,2729,1226
04917,1000,949,51
04918,167,117,50
04920,768,658,110
04921,657,582,75
04922,478,409,69
04923,242,219,23
04924,909,674,235
04925,38,35,3
04926,38,38,0
04927,1417,1141,276
04928,843,671,172
04929,333,217,116
04930,1789,1284,505
04932,529,489,40
04933,24,19,5
04936,74,74,0
04937,2799,1796,1003
04938,3737,2690,1047
04939,444,434,10
04940,0,0,0
04941,693,600,93
04942,609,553,56
04943,754,566,188
04944,18,18,0
04945,476,372,104
04947,632,559,73
04949,368,316,52
04950,1870,1303,567
04951,491,431,60
04952,846,682,164
04953,1392,1019,373
04955,582,523,59
04956,320,280,40
04957,1659,1396,263
04958,736,650,86
04961,416,391,25
04962,54,11,43
04963,2977,2517,460
04964,70,46,24
04965,887,755,132
04966,722,605,117
04967,1529,1159,370
04969,530,442,88
04970,644,500,144
04971,789,733,56
04973,576,484,92
04974,1299,911,388
04975,0,0,0
04976,4440,2978,1462
04978,324,264,60
04979,383,315,68
04981,1162,993,169
04982,244,161,83
04983,634,515,119
04984,254,204,50
04985,30,25,5
04986,682,576,106
04987,414,341,73
04988,790,550,240
04989,1709,1342,367
04992,42,42,0
05001,4493,3115,1378
05031,43,43,0
05032,1005,776,229
05033,1084,780,304
05034,125,91,34
05035,317,239,78
05036,437,365,72
05037,207,191,16
05038,575,422,153
05039,525,441,84
05040,247,222,25
05041,151,127,24
05042,213,172,41
05043,465,398,67
05045,883,704,179
05046,466,370,96
05048,1277,1067,210
05050,58,31,27
05051,691,553,138
05052,82,39,43
05053,190,178,12
05055,1252,911,341
05056,206,177,29
05058,128,118,10
05059,154,115,39
05060,1915,1431,484
05061,462,434,28
05062,277,234,43
05065,409,309,100
05067,100,96,4
05068,1424,845,579
05069,200,165,35
05070,255,236,19
05071,57,57,0
05072,199,173,26
05075,458,409,49
05076,157,117,40
05077,545,440,105
05079,296,261,35
05081,225,115,110
05083,114,81,33
05084,110,110,0
05086,278,256,22
05089,1973,1247,726
05091,1493,1119,374
05101,1968,1053,915
05141,82,56,26
05142,294,224,70
05143,1829,1412,417
05146,308,251,57
