ZipCode,Pop16YAO,UnEmpRate16YAO,UnEmpRate20to64Y
02668,2366,3.1,1.6
02669,93,0.0,0.0
02670,1125,6.9,9.3
02671,822,4.1,5.3
02672,271,0.0,0.0
02673,7448,6.8,7.5
02675,5688,3.1,3.1
02702,3588,3.7,4.0
02703,35800,5.6,5.0
02713,40,0.0,0.0
02715,2765,2.8,3.0
02717,3927,5.5,5.5
02718,5354,5.7,6.2
02719,13257,5.1,4.8
02720,25449,7.8,6.5
02721,20395,7.8,7.4
02723,11670,10.5,7.7
02724,14760,10.2,9.5
02725,2097,3.1,3.3
02726,13196,6.6,6.3
02738,4055,3.8,3.6
02739,5516,4.5,3.5
02740,35285,6.6,6.2
02743,8968,5.0,4.0
02744,8811,8.0,8.2
02745,20432,6.9,6.7
02746,11679,8.7,8.9
02747,20551,5.2,4.3
02748,9825,6.8,6.6
02760,21654,3.9,3.7
02762,7470,3.5,3.2
02763,1351,4.4,3.8
02764,3625,4.6,4.6
02766,16554,4.6,4.5
02767,11546,4.0,3.7
02769,9856,2.3,2.3
02770,4233,5.5,4.0
02771,12615,4.0,3.1
02777,13700,4.0,3.5
02779,5353,1.3,0.7
02780,40045,6.1,5.8
02790,13514,4.0,4.3
02791,300,0.0,0.0
02802,497,6.4,0.0
02804,1703,1.0,1.1
02806,12376,2.9,2.7
02807,726,4.6,5.2
02808,2092,11.4,11.0
02809,19564,3.6,3.4
02812,937,6.7,6.9
02813,6694,7.4,7.2
02814,6360,3.8,3.3
02815,134,0.0,0.0
02816,27310,5.5,4.7
02817,4984,3.3,3.2
02818,14610,4.7,4.8
02822,5678,6.8,5.8
02825,4691,2.2,1.3
02826,501,13.2,13.5
02827,1775,1.3,1.4
02828,6676,4.4,4.2
02830,4650,4.3,3.5
02831,2800,6.1,6.5
02832,3540,4.6,4.5
02833,951,8.4,7.3
02835,4536,5.4,6.2
02836,187,0.0,0.0
02837,3100,2.7,2.8
02838,2738,11.0,12.6
02839,1673,5.7,3.2
02840,20057,4.7,4.3
02841,1632,0.0,0.0
02842,13168,5.0,4.4
02852,18157,5.2,4.6
02857,7543,5.7,5.2
02858,728,3.6,3.7
02859,5808,5.2,4.1
02860,37333,9.0,7.2
02861,20728,6.0,4.9
02863,14424,7.4,6.2
02864,28433,2.9,2.5
02865,14354,3.9,3.8
02871,14199,3.1,2.1
02872,278,0.0,0.0
02873,148,0.0,0.0
02874,4772,3.4,2.7
02875,386,10.2,10.2
02876,217,0.0,0.0
02878,13302,5.9,5.8
02879,17447,6.8,6.7
02881,7447,11.1,7.0
02882,12697,5.2,5.4
02885,8866,4.1,4.6
02886,24118,4.1,3.8
02888,16428,4.4,4.3
02889,23055,7.2,7.3
02891,17805,7.0,6.8
02892,4125,2.0,2.3
02893,24165,6.7,6.7
02894,604,0.0,0.0
02895,33461,8.7,8.5
02896,10058,5.3,3.7
02898,1373,0.7,0.0
02903,9991,10.3,9.5
02904,24802,5.2,4.5
02905,20410,11.9,11.6
02906,24888,4.0,3.9
02907,23426,12.9,11.3
02908,29656,6.8,6.2
02909,31082,10.4,10.1
02910,17787,5.0,4.8
02911,13475,6.7,5.8
02912,1360,6.0,8.9
02914,17892,7.8,7.5
02915,14259,4.8,4.9
02916,7279,3.3,3.3
02917,12174,3.3,2.5
02919,24831,6.6,5.0
02920,31161,5.3,5.1
02921,10097,4.3,4.2
03031,8981,3.7,3.3
03032,4559,3.4,3.2
03033,3946,2.9,3.2
03034,3380,2.9,3.1
03036,4047,3.3,2.4
03037,3656,1.7,1.2
03038,27570,5.7,5.5
03042,5647,3.8,4.1
03043,1410,3.2,3.4
03044,3816,4.7,3.9
03045,11274,4.1,2.9
03046,2219,2.0,1.6
03047,1482,3.7,3.1
03048,2951,2.5,2.4
03049,6411,5.3,5.9
03051,20728,4.2,3.3
03052,6939,4.8,5.4
03053,20397,3.3,2.8
03054,20983,3.8,3.2
03055,12425,5.0,4.3
03057,2085,2.7,2.4
03060,24231,4.8,4.7
03062,23397,4.1,3.3
03063,14151,3.3,3.0
03064,11584,8.1,6.4
03070,4359,1.6,1.5
03071,4145,4.3,3.0
03076,10954,2.8,2.9
03077,8189,3.8,4.0
03079,24646,4.3,3.9
03082,1397,4.3,3.0
03084,1153,4.8,5.1
03086,3228,4.4,3.5
03087,11112,3.2,3.5
03101,2471,6.5,6.7
03102,27206,5.9,5.3
03103,29704,6.2,5.5
03104,27585,3.6,3.3
03106,11875,4.0,4.2
03109,8758,3.1,2.9
03110,17357,3.4,3.1
03215,161,0.0,0.0
03216,2107,3.4,3.8
03217,1735,4.7,1.9
03218,720,4.7,3.3
03220,6089,3.2,3.0
03221,1761,2.3,2.7
03222,4997,5.0,5.1
03223,2989,0.8,1.0
03224,2054,3.1,3.4
03225,3037,5.6,4.4
03226,877,0.8,0.0
03227,863,6.0,5.2
03229,4648,5.2,4.6
03230,1041,4.8,5.1
03231,198,5.7,5.7
03233,86,0.0,0.0
03234,3877,2.4,2.7
03235,7215,4.1,4.3
03237,1965,6.8,2.1
03238,92,9.3,10.2
03240,1042,9.4,9.3
03241,683,5.2,6.5
03242,4206,2.4,2.2
03243,811,3.2,3.1
03244,6311,4.8,4.0
03245,1758,2.1,2.4
03246,13990,5.2,4.9
03249,5864,2.3,2.6
03251,1022,0.8,0.0
03253,5173,4.4,4.0
03254,3500,2.7,3.2
03255,1722,0.4,0.5
03256,2006,5.0,5.5
03257,4167,3.9,3.4
03258,2143,2.5,2.1
03259,327,2.3,2.6
03260,618,0.0,0.0
03261,3601,2.6,1.4
03262,763,1.1,1.2
03263,3199,8.8,8.7
03264,6317,6.2,4.9
03266,1906,2.8,2.8
03268,973,3.0,2.6
03269,2504,7.2,6.9
03273,311,0.0,0.0
03275,9620,2.8,2.8
03276,6638,3.3,2.8
03278,2435,0.8,0.9
03279,715,7.6,8.6
03280,1024,2.0,1.8
03281,7175,1.4,1.1
03282,758,1.2,1.1
03284,750,7.8,4.5
03285,2169,3.8,4.6
03287,1369,4.1,3.6
03290,4029,2.6,2.3
03291,46,0.0,0.0
03293,99,0.0,0.0
03301,27586,4.8,4.5
03303,12897,3.1,2.6
03304,6226,1.6,1.6
03307,4910,10.2,8.8
03431,21998,5.1,5.1
03440,2348,3.7,3.4
03441,175,13.1,13.1
03442,1126,2.2,1.8
03443,363,0.0,0.0
03444,1227,3.5,4.1
03445,626,2.5,2.4
03446,5048,0.9,0.6
03447,2051,3.7,3.1
03448,632,5.7,6.2
03449,1496,5.0,3.7
03450,849,3.0,1.4
03451,3299,4.5,3.1
03452,4414,2.7,3.1
03455,1953,0.1,0.0
03456,646,3.4,3.7
03457,650,4.0,4.8
03458,5985,3.5,3.7
03461,4936,2.5,3.0
03462,1062,5.5,6.5
03464,885,5.4,4.9
03465,1699,4.6,3.1
03466,1338,6.1,4.0
03467,1470,2.3,2.7
03470,4077,4.8,5.5
03561,4982,3.8,4.0
03570,9083,8.2,6.7
03574,2214,3.5,4.1
03575,80,0.0,0.0
03576,2388,4.4,4.5
03579,310,10.2,8.5
03580,1208,4.5,5.3
03581,2622,2.8,2.4
03582,2021,5.1,4.2
03583,812,3.1,3.7
03584,3025,5.4,4.6
03585,2310,7.4,7.3
03586,540,1.3,1.5
03588,1337,3.6,4.0
03590,771,6.0,3.8
03592,984,4.3,4.4
03593,396,3.7,4.2
03595,566,3.0,3.3
03597,389,2.4,3.2
03598,2702,7.0,7.0
03601,337,1.4,1.7
03602,2101,2.1,1.9
03603,4213,6.4,6.6
03604,212,6.1,6.1
03605,774,2.0,2.1
03607,401,0.0,0.0
03608,2522,3.1,3.4
03609,558,4.3,4.5
03740,539,6.3,6.7
03741,3452,2.7,2.5
03743,11175,3.4,3.1
03745,1233,2.7,2.8
03746,215,0.0,0.0
03748,4259,1.8,2.0
03750,646,0.0,0.0
03751,502,0.0,0.0
03752,623,1.9,1.5
03753,2383,1.8,2.0
03754,202,0.0,0.0
03755,9653,2.8,2.1
03765,440,0.0,0.0
03766,7928,1.7,1.6
03768,1348,1.5,1.8
03770,432,2.1,3.3
03771,732,4.6,5.2
03773,6583,5.2,4.5
03774,1911,1.2,0.0
03777,1314,3.4,2.7
03779,678,4.8,4.3
03780,445,1.7,0.0
03781,1619,1.4,1.5
03782,2472,4.3,5.3
03784,3307,2.6,2.9
03785,1858,8.0,9.5
03801,19481,2.5,2.3
03809,2935,5.0,5.8
03810,1556,10.5,16.9
03811,5842,2.6,1.2
03812,577,0.6,0.6
03813,2348,3.2,3.3
03814,2028,5.2,5.2
03816,1284,7.7,6.2
03817,648,0.0,0.0
03818,3017,2.8,0.9
03819,3753,5.9,4.0
03820,25917,3.9,3.2
03823,1342,2.2,2.4
03824,15171,4.7,2.8
03825,7343,3.0,2.4
03826,1920,8.5,4.8
03827,2643,3.9,3.3
03830,1825,6.6,6.9
03832,295,2.6,1.9
03833,18083,3.8,3.7
03835,5684,2.8,1.6
03836,1221,5.8,5.4
03837,1049,6.1,7.2
03838,1020,5.7,3.3
03839,3025,3.6,4.0
03840,3118,2.3,1.8
03841,5183,4.2,3.3
03842,13535,2.4,2.4
03844,1900,1.1,1.2
03845,1048,6.4,2.7
03846,848,4.1,3.1
03847,337,0.0,0.0
03848,5217,4.0,3.9
03849,1245,7.0,5.2
03850,254,0.0,0.0
03851,3303,5.8,5.8
03852,483,0.0,0.0
03853,487,6.3,8.8
03854,694,0.9,1.2
03855,2253,3.9,4.3
03856,1309,1.2,1.4
03857,7666,2.8,3.0
03858,3997,4.1,3.8
03860,3588,1.5,1.8
03861,3688,1.4,1.5
03862,3731,2.4,2.8
03864,1577,5.1,6.1
03865,6366,5.9,6.0
03867,17789,3.9,3.6
03868,4217,7.1,6.4
03869,2036,3.3,3.6
03870,4555,1.4,1.7
03871,115,0.0,
03872,2843,2.4,2.8
03873,5006,3.1,2.1
03874,7729,5.5,6.0
03875,923,2.6,0.0
03878,9779,6.1,6.6
03882,1224,6.0,6.4
03883,106,0.0,0.0
03884,3175,3.1,2.5
03885,5870,2.7,2.0
03886,1775,2.8,3.0
03887,1741,3.7,3.6
03890,146,0.0,0.0
03894,5556,3.5,4.3
03901,6131,1.9,2.1
03902,2176,4.3,3.4
03903,5291,3.3,2.8
03904,6509,5.2,3.6
03905,1813,1.5,0.0
03906,3994,3.2,2.7
03907,1092,4.5,5.5
03908,5808,1.3,0.4
03909,8455,3.6,3.2
03910,294,0.0,0.0
03911,52,,
04001,2257,5.5,4.9
04002,6240,4.5,3.2
04003,297,0.0,0.0
04005,20023,5.4,4.2
04006,154,0.0,0.0
04008,2331,5.9,7.0
04009,4446,4.7,4.4
04010,1119,2.5,2.8
04011,17655,4.1,3.4
04015,3259,1.9,1.2
04017,370,6.2,9.1
04019,23,0.0,0.0
04020,1106,12.8,13.5
04021,4912,4.4,2.7
04022,1093,5.3,2.5
04024,492,0.0,0.0
04027,4836,2.0,2.1
04029,1369,2.7,1.8
04030,2044,4.0,4.3
04032,6917,2.4,2.7
04037,3063,1.8,2.1
04038,13771,2.5,2.2
04039,6206,2.5,2.1
04040,2776,2.1,1.7
04041,1412,4.1,3.1
04042,3902,4.5,4.8
04043,9627,4.9,3.4
04046,6421,1.8,1.7
04047,1620,5.9,3.7
04048,2377,3.8,3.0
04049,2885,6.0,3.1
04050,215,0.0,0.0
04051,886,3.9,3.5
04055,3242,3.7,4.1
04056,259,0.0,0.0
04057,63,26.3,0.0
04061,2540,8.2,7.7
04062,14892,2.7,1.9
04063,482,0.0,0.0
04064,7682,4.3,4.2
04066,667,0.0,0.0
04068,1372,3.0,2.9
04069,1377,1.7,1.5
04071,4470,3.9,3.0
04072,15752,3.0,2.9
04073,12888,5.6,4.8
04074,16028,1.4,1.3
04076,2179,3.3,3.0
04079,3246,6.6,7.1
04083,3798,7.6,5.4
04084,6527,4.3,3.5
04085,1765,0.2,0.3
04086,7429,1.3,1.2
04087,1503,3.0,3.3
04088,1206,4.4,3.9
04090,8761,3.8,3.0
04091,758,1.7,1.1
04092,15609,6.6,6.6
04093,6781,4.4,3.3
04095,1039,2.8,3.1
04096,6998,2.4,2.7
04097,2942,4.2,4.6
04101,15400,3.5,3.6
04102,14947,2.2,2.0
04103,25534,3.2,2.9
04105,9263,2.8,2.7
04106,22132,5.1,5.0
04107,7248,1.6,1.6
04108,814,2.8,3.4
04109,90,29.2,32.6
04110,1121,0.0,0.0
04210,18531,3.6,3.0
04216,356,9.3,10.9
04217,2711,6.7,7.2
04219,1389,6.0,4.0
04220,2622,4.4,3.6
04221,789,8.2,7.8
04222,3037,1.1,0.9
04224,2081,8.5,8.4
04226,172,5.1,5.7
04227,108,0.0,0.0
04228,0,,
04231,235,1.4,1.7
04234,63,0.0,0.0
04236,3354,2.2,1.7
04237,166,2.2,0.0
04238,1412,6.7,6.8
04239,3753,4.0,4.2
04240,29837,5.4,4.5
04250,3182,4.8,4.0
04252,3760,2.5,0.9
04253,1698,6.1,6.7
04254,2453,18.7,18.5
04255,544,1.2,1.3
04256,2345,0.0,0.0
04257,2334,7.7,8.2
04258,1893,2.5,1.7
04259,2622,9.7,10.1
04260,4537,3.0,3.3
04261,325,0.0,0.0
04263,1667,3.1,2.1
04265,890,3.4,3.8
04267,54,0.0,0.0
04268,3753,5.2,5.1
04270,4906,6.0,5.2
04271,0,,
04274,4618,3.7,2.0
04275,340,9.7,10.8
04276,5383,9.8,10.2
04280,5477,6.6,5.9
04281,4231,8.0,5.5
04282,4612,5.3,2.6
04284,819,3.9,4.6
04285,344,4.9,5.7
04286,24,0.0,0.0
04287,2688,3.0,2.6
04289,1785,9.6,8.9
04290,1307,6.6,3.7
04292,813,8.9,9.3
04294,3295,6.4,6.2
04330,21495,5.3,5.6
04342,1488,2.8,3.0
04343,16,0.0,0.0
04344,2362,9.9,9.3
04345,9119,3.3,3.3
04346,1655,5.5,4.0
04347,2043,4.7,5.6
04348,2348,2.2,2.4
04349,908,1.7,1.4
04350,2954,4.3,4.9
04351,2128,2.5,2.8
04352,1265,1.8,2.0
04353,1884,5.1,4.2
04354,1228,6.0,5.9
